chinese_name,english_name,chinese_description,english_description,quality
叉烧餐饱仔,suitable for vegetarian denotes option,[],[],high
黄立仓豉汁蒸干煎红烧,sauce,[],[],high
干炒辣鸡丝,crispy chilli shredded chicken,[],[],medium
泰式三鲜煲,spicy mixed seafood in thai style,[],[''],medium
榨菜肉丝汤,pickle and shredded pork soup large,[],[],high
黑椒芦笋龙虾,black pepper lobster with asparagus,[],[],high
冰花芙蓉官燕,stewed bird’s nest with egg white,[],[],high
菜胆白灵菇,braised mushrooms and green vegetable,[],[],high
瑶柱蛋白虾炒饭,yeung chow fried rice with prawn and diced roast duck,[],[],high
叫化鸡,begger’s chicken,[],[],high
多宝鱼清蒸古法蒸,turbot steamed steamed traditional style,[],[],medium
菜心粒粥,choi sum congee v vg,[],[],high
馄饨汤面,noodle soup with wonton ,[],[],high
锅贴,guotie pan-fried dumplings,[],[],high
家乡小炒肉,country-style sauteed beef fillet,[],[],high
赫蓉白菜,pak choi with garlic,[],"['Pak choi with garlic and chef special soya sauce', '']",medium
七彩豆腐羹,rainbow beancurd soup,[],[],medium
雪蛤海皇羹,hasma and scallop thick soup,[],[],high
京酱肉丝配鸭饼,sauteed shredded pork in hoi-sin sauce served with pancakes,[],"['Pork, Spring Onion, Hoi-sin Sauce, Pancake']",high
咕噜素鸡白饭,sweet and sour mock chicken,[],[],high
豉油皇煎带子,pan fried scallop in soya king sauce,[],[],medium
豆汤饭,pork wonton with house special chilli oil sauce,[],[],medium
台湾肉羹,"shredded pork and squid thick soup, taiwan style",[],[],high
鸳鸯鲈鱼,yin yan sea bass,['一半薑蔥蒸另一半煎封'],['Half of the Fish steamed with Ginger and Spring Onion Other Half Pan Fried with Soya'],medium
黄瓜拌海螺,marinated whelks and cucumber,[],[],high
白辣椒炒鸡胗,sauteed chicken gizzard with white chilli,[],[],high
乡村大丰收,a good harvest in the countryside ucumbers shallos,[],"['carrots lettuce home made paste and pancake', 'Becoming vegan is the most important and direct change', 'we can immediately make to save the planet and its species']",high
瑶柱咸鱼鸭粒露笋炒饭,conpoy duck meat asparagus salted fish fried rice,[],[],high
天皇海鲜卷,supreme seafood roll,[],[],medium
咖喱牛腩汤面,curry beef brisket noodle soup,[],[],medium
脆皮乳鸽,crispy pigeonneau,[],[],high
豆沙锅饼,red bean paste pancake,[],[],high
香辣沙爹粉丝虾煲,spicy satay king prawns and glass vermicelli in clay pot,[],[],medium
红烧血燕,braised bird’s nest with soy sauce,[],[],high
炸海草,crispy seaweed,[],[],medium
宫保鸡丁,gongbao diced chicken with peanuts & dried chilli,[],"['Chicken, Sichuan Pepper Corn, Peanuts & Dried Chilli']",high
雪豆牛肉,stir-fry beef with snow peas ,[],[],high
斋粟米羹,sweet corn soup,[],[],medium
孜然羊肉,fried lamb with cumin,[],[],medium
虾仔炒饭,shrimps fried rice,[],[],medium
京都排骨,peking style pork spare ribs pieces,[],[],medium
净炒杂菜,quick fried mixed vegetables,[],[],medium
自带酒水加收开瓶费,poached beef in hot chilli oil,[],['Corkage charge applies if you bring your own wines'],high
上海辣鸡翼,shanghai hot chilli chicken wings,[],[],medium
忌廉蘑菇汤,cream of mushroom soup,[],[],high
全蝎望京鸭,fried duck meat with scorpions,[],[],high
鱼香茄子煲,yuxiang eggplant in casserole sauteed with spicy garlic sauce,[],[],high
沙茶牛松饭,stir-fried rice with minced beef and satay sauce,[],[],high
沙爹鸡串,satay chicken on skewers,[],[],medium
韭菜海蜇花,chinese chive with jellyish,[],[],high
海鲜酸辣汤,hot and sour seafood soup,[],[],high
芝麻芋条,deep-fried taro sticks with sesame,[],[],high
大虾炒面,stir fried egg noodle with king prawns,[],[],high
蒸点三喜拼,complimetary tea of choice,[],['Steamed Dim Sum Platter'],high
加拿大珍宝蟹,canadian crab,[],[],high
豉椒牛炒面,spicy beef with chilli and black bean chow mein,[],[],medium
麻辣烤猪手,hot and spicy pork shank,[],[],high
豆瓣全鱼,whole fish dressed with spicy bean sauce,[],[],high
油辔海中宝和尚鱼带子大虾,quick fried sea treasures monk fish scallops king prawns,[],[],medium
黑松露水晶虾饺,black truffle har gau,[],[],high
鲜虾韭菜饺,king prawn and chive leaf dumplings,[],[],medium
斋豉椒鸭片,soya bean slices with green pepper and,[],['Black Bean Sauce'],high
豆腐烧鱼,braised fish with tofu,[],[],high
苳菇炒虾球,braised prawns with chinese mushroom,[],[],medium
翡翠烧麦,shaomai stuffed with green vegetables ,[],[],high
凉拌香酥鸭沙律,crispy aromatic duck salad,[],[],high
蒜香烧汁牛仔骨,grilled veal short ribs in bbq sauce,[],[],high
蛋炒饭星洲炒米粉,egg fried rice spicy singapore noodle,[],[],high
扬州炒饭,yeung chow fried rice,[],[],medium
麻辣鸭翼,marinated duck wings in spicy sauce serve chilled s,[],[],high
泰式炸鱼饼,thai fish cakes,[],[],medium
翡翠虾仁,sauteed shrimp with greens,[],[],high
香糯粉蒸肉,steamed sliced pork belly coated with crumbled sticky rice,[],"['Pork Belly, Sticky Rice']",high
大虾粉丝煲,king prawn with vermicelli in hot pot with soup,[],[],high
宫保带子,kung pao scallops,[],[],high
卤鸭冷切,marinated sliced duck,[],[],high
水饺汤面,shrimp dumpling noodles in soup,[],[],high
杨枝甘露冷,mango pomelo sago chilled,[],['78kcal'],high
蒜蓉蒸带子春雨帆立二夕蒸,steamed scallop with garlic and,[''],['BEAN THREAD NOODLES EACH'],high
蒜泥白肉豚肉巻辛味添盟,thin sliced pork rolls in,[''],['SPICY GARLICKY SAUCE'],high
蒸姜葱带子,scallop in shell with vermicelli ginger and spring onion,[],[],medium
鸡丁炒河鷄炒才一,dry fried hor fun with chicken,[''],[],high
凉拌麻辣牛柳丝,ma la beef tenderloin salad,[],[],high
蒜炒四季豆,string beans with garlic,[],"['Original 180kcal', 'Vegan']",high
酱料火锅酱油生蒜蓉尖辣椒海鲜酱香菜,sauce hot pot soy sauce raw garlic,[],['Mix Chop Chilli Seafood Sauce Coriander'],high
肉饼,minced pork meatpie,[],[],high
红烧毛芋头,braised taro in brown sauce,[],[],high
紫菜海鲜汤,mixed seafood seaweed soup,[],[],medium
沙爹三鲜,mixed seafood with satay sauce,[],[],medium
斋春卷,vegetable spring roll,[],[],high
牛腩米粉,braised beef belly with pho,[],['Noodles Noodles in Soup'],high
生椒牛肉拌面,deep fried chicken cubes in chili and szechuan pepper,[],['Chargrilled Green Chilli Crushed With Century Egg'],medium
虾仁滑蛋饭,stir fried prawn with egg,[],[],medium
吉鱼鳟鱼,steamed fish sea bass / mandarin/flatfish / perch / sea bream / ,[],[],high
剁椒烤鱼川切唐辛子焼鱼,roast sea bass with chopped,[],['SALTED CHILLIES SAUCE'],high
红油饺子,poached pork dumplings in chilli sauce s,[],[],high
豉椒蒸带子,steamed scallop in shell in black bean sauce,[],[],medium
龙虾避风塘椒盐香辣麻辣,lobster deep fried with dried shallots,[],"['In Salt and Pepper With Dried Spicy Chilli', 'In Spicy Sauce With Sichuan Peppercorns']",high
芦笋虾球,wok fried king prawns with asparagus,[],['A41'],high
日式鸡肉炒面,chicken yakisoba,[],[],high
葱油烧素烩,"stir-fried tofu, straw mushroom, red pepper, baby corn & black fungus",[],"[' Tofu, Straw Mushroom, Red Pepper, Baby Corn & Black Fungus']",high
老醋木耳,black fungus with vinegar s,[],[],high
白汁大虾鸡蛋炒饭,king prawn in creamy white sauce on egg fried rice,[],[],medium
咕噜斋鸡,mixed vegetable fried rice,[],[],high
宫保虾球,kung po prawns,[],[],medium
扁豆肉丝,sauteed shredded pork and green beans,[],[],high
鸡球炒面,sliced chicken chow mein,[],[],medium
腰果炒鸡丁,stir fried chicken with cashewnuts,[],[],high
小吃,small plates,[],"['Egg Fried Rice With Pickled Vegetable And Potato', 'With minced Pork']",medium
甜味小吃,pork dumplings with sweet and spicy,[],"['Chilli Oil Minced Garlic', 'Sweet Bites']",high
椒盐鲜鱿,fried squids with chilli and salt,[],[],medium
雷沙汤圆,black sesame dumplings in peanut crumbs,[],[],high
蟹米汤,crab sweetcorn soup,[],[],medium
宫爆鸡,kung po chicken,[],[],medium
糖糟鱼块,sweet and sour fish fillet,[],[],medium
松软香甜豆沙包,home-made style steamed buns with sweet red bean paste filling,[],"['Red Bean, Dough']",high
烧海参裙边,braised sea cucumber and turtle rim,[],[],high
盐水鸭肝,duck liver cooked in brine,[],[],high
砂锅滑鸡,stewed chicken and vegetables in casserole,[],[],high
卤水鸭膀,marinated duck wings,[],[],high
黄豆芽炒豆腐,sauteed tofu with bean sprouts,[],[],high
酥炸鲜鱿咕噜汁,deep fried squid with sweet and sour dips,[],[],medium
家乡炒米粉,stir fried vermicelli with assorted seafood and shredded pork,[],[],high
脆皮炸春卷,spring rolls,[],[],medium
炒四季豆,stir fried french bean,[],[],medium
猪锅贴,grilled pork dumpling,[],[],medium
白切鸡,ginger and scallion sauce,[],[],high
素生菜包,vegetarian lettuce wrap served with hoi sin sauce,[],[],medium
鸡丝芙蓉,shredded chicken foo yung,[],[],medium
海南辣虾角,spicy hoi lam prawn parcels,[],[],medium
白灼西兰花,sauteed broccoli with cream sauce,[],[],high
糖醋小排,sweet and sour ribs not your usual sweet and sour,[],[],medium
香港芥兰,hong kong gai lan,[],[],high
炸凤尾虾,fried phoenix tail prawns,[],[],high
香杏鲍菇,apricot mushroom with soy sauce,[],[],high
海鲜豆腐,braised tofu with seafood,[],[],high
糖醋鸡,sweet sour chicken,[],['A variation on a popular Hunan dish Chicken chunks and pineapples coated in a treacly sweet and tangy sauce'],high
炝拌鸡胗,cold fried chicken gizzard,[],[],medium
虾多士,toasted sesame prawns,[],[],medium
黄桥烧饼,"sesame pancake, huangqiao style",[],[],high
咖喱叉烧,roast pork char siu curry,[],[],medium
蒜苗炒肚条,braised tripe with tofu skin,[],"['Tripe with Picked Green Chilli', 'J']",high
古老什菜豆腐,vegetarian ma po tofu,[],"['Sweet and Sour Bean Curd Tofu', 'with Fresh Vegetables']",high
冰糖葫芦,"bingtanghulu /crispy sugar-coated fruit haws, yam, etc. on a ",[],[],high
蒜香葱油饼,spring onion pancakes,[],[],medium
素食小吃拼盘,vegetarian special platter,[],"['Vegetable Spring Rolls, Salt & Pepper Beancurd, Crispy Seaweed, Veggie Chicken Skewer with Peanut Satay Sauce']",high
米酒焗斑鱼球豆腐煲,braised fish fillet and tofu in clay pot with rice wine,[],[],high
海鲜热拼,seafood mixed hors d'oeuvres,[],['Prawn Satay Deep Fried Squid Toasted Sesame Prawn Butterfly Prawn Crispy Seaweed Crab Sticks in Breadcrumb'],medium
百花蒸酿竹笙,steamed bamboo fungus stuffed with minced king prawn,[],[],medium
鸡肉丸,chicken balls,[],[],high
粟米汤,sweetcorn,[],[],high
酥炸蟹钳,crispy stuffed crab claw with prawn paste,[],[],high
酸辣汤,hot and sour soup ,[],[],high
芹菜香干肉丝,ants climbing a tree bean thread noodles with minced meat,[],[],high
沙律虾球,stir fried chinese sausage with,[],"['Vegetables', 'J36']",high
豉椒炒虾球,fried prawns in chilli and black bean sauce,[],[],medium
萝卜苗,turnip sprouts,[],[],high
香辣猪蹄,braised spare ribs in chinese sweet sour sauce,[],[],high
宫保什菜,mixed vegetables kunpo style with cashewnuts,[],[],high
红烧豆腐鱼球煲,braised fish t beancurd in casserole,[],[],high
香菜鱼片汤,coriander fish fillet soup,[],[],medium
葱花旦炒饭,egg fried rice,[],[],high
酸辣汤水饺,hot and sour jiaozi soup,[],[],high
红油水饺,traditional dumplings in chilli oil,[],[],high
龙虾辔饭,soaked cooked rice with lobster,[],[],high
百叶包肉,tofu skin rolls stuffed with minced pork,[],[],high
雪菜鸭丝炆红薯粉,braised potato noodles with shredded duck and preserved vegetable,[],[],high
鸡汤抄手,pork wonton in chicken stock,[],[],medium
鲜蘑包公鸡,braised chicken with fresh mushrooms,[],[],high
豆豉牛柳,braised beef fillet in black bean sauce,[],[],high
乌龙吐珠,sea cucumber with quail eggs,[],[],high
牛肉炒面,beef chow mein,[],[],medium
鸡肉炒饭,chicken fried rice,[],[],medium
罗汉斋菜,buddhist monk mixed vegetables,[],[],medium
东坡方肉,dongpo cubed pork,[],[],high
牛肉丸,stewed beef meatballs,[],[],high
甜酸大虾球,sweet and sour king prawn,[],[],high
中式排骨,mini spare ribs in cantonese sauce,[],[],high
耗油牛,beef with oyster sauce,[],[],medium
冰镇咕噜肉,steamed minced beria pork with salted duck egg yolk,[],[],high
黄立仓豉汁蒸干煎红烧,pomfret steamed in black bean sauce/pan-fried /braised with soy ,[],[],high
铁板豉椒牛柳,sizzling fillet steak with green pepper in black bean sauce,[],[],medium
雪菜鸭丝鸳鸯米,shredded duck with vermicelli and rice stick in sou,[],[],high
拌鸵鸟筋,ostrich tendons in sauce,[],[],high
梅子烧鸭,roast duck with plum sauce,[],[],medium
香煎鸭丝腐皮卷,pan fried shredded roasted duck beancurd rolls,[],[],medium
牛炒饭面,beef fried rice chow mein,[],[],high
蟹黄蟹肉鱼肚羹,serves persons pre order only,[],[],high
中古大虾,sweet and sour king prawn,[],[],medium
蟹肉,crab meat,[],[],high
茄子烧豆角,braised aubergine french beans,[],[],medium
叉烧烧鸭饭,char siu and roast duck with rice,[],[],medium
甲鱼烧肉,braised turtle with diced pork,[],[],high
卤水鹅胗,marinated goose gizzard,[],[],high
鸡蛋炒饭,egg fried rice,[],"['Egg, Rice, Spring Onion']",high
茶树菇老鸡煲,braised chicken with tea tree mushroom in a pot,[],[''],high
素香酥鸭,vegetarian aromatic duck,['Servedwithsteamedpancakesshreddedcucumberandspringonionwithhoisinsauce'],[],high
酒酿圆子,chilled taro and coconut sago,[],['Shanghai Rice Wine Soup w Rice Bites'],high
云吞汤,wonton soup,[],[],medium
雪菜肉松拉面,hand-pulled noodle soup with minced pork and preserved ,[],[],high
萝卜丝鲫鱼汤,crucian carp and shredded turnip soup,[],[],high
召盐炸薯条,salt and pepper chips,[],[],high
辣味鲜虾豆苗饺,prawn and chive dumplings,[],[],high
豉油皇炒河,soya ho fun with silver sprouts,[],[],medium
皮蛋豆腐,tofu with preserved eggs,[],[],high
海鲜汤饺,jiaozi stuffed with seafood in soup,[],[],high
虾片,prawn crackers,[],[],high
炸虾片,prawn crackers,[],[],medium
鲍鱼扒菜胆,abalone with chinese green,[],[],medium
黑椒鸡片,chicken in black pepper sauce,[],[],high
脆炸芋头糕,deep-fried taro cake,[],[],high
招牌杂水,stir fried with mixed vegetable,[],"['133S', 'Special Chop Suey with Mixed Meat and Prawn']",high
花生皇沙爹汁,peanut satay sauce,[],[],medium
鸡蓉粟米羮,minced chicken and sweetcorn soup,[],[],high
咖喱羊腩饭,lamb brisket curry with rice,[],[],medium
干炒辣牛柳丝,crispy chilli shredded fillet steak,[],[],medium
京都汁鸡翼,peking style chicken wings,[],[],medium
香煎和牛,pan grilled a wagyu,[],['A5 150g'],high
豉汁煎酿三宝百花豆腐茄子和青椒,three treasures pieces,[],['Green Pepper Tofu Aubergine with Pak Far Prawn Meat Stuffing in Black Bean Sauce'],medium
清蒸白鳝,steamed eel,[],[],high
九层塔三杯鸡煲,taiwanese three cup chicken pot with sweet basil,[],[],high
日本牡丹虾塔塔,botan prawn tartare with mango and pink grapefruit,[],[],high
揽菜肉松四季豆,fermented bean curd sauce,[],"['P55', 'Braised Egg Tofu and Meat Floss with Enoki Mushroom', 'P56', 'Sautéed Spring Beans with Minced Pork']",high
家常豆腐煲,home style tofu with minced pork,[],[],high
红烧牛头扣辽参,braised sea cucumber and ox head with soy sauce,[],[],high
盐焗鸡饭,salted steamed chicken,[],[],medium
三鲜豆腐,sauteed tofu with three delicacies,[],[],high
杏仁炒南瓜,sauteed pumpkin with almonds ,[],[],high
虾饺,har w,[],[],medium
北菇时菜,fried mushrooms with vegetables,[],[],medium
香菜拌木耳,cloud ear fungus with coriander,[],[],high
黑椒金钱肚,black peppered tripe,[],[],medium
凉瓜排骨煲,braised spare ribs with bitter melon in casserole,[],[],high
葱油拌面,"noodles in scallion, oil and soy sauce",[],[],high
拌鲜核桃仁,fresh walnuts in sauce,[],[],high
四川鲜芦笋,asparagus in szechwan sauce,[],[],medium
中式羊大虾三鲜,lamb king prawn mixed seafood,[],[],high
鸡丝炒面,stir-fried noodles with shredded chicken ,[],[],high
冬瓜虾仁粉丝汤,chinese melon prawn and vrmicelli soup,[],[],high
脆皮咸水角,thai style squid cakes contain pork,[],[],high
椒盐吊筒仔,salt & pepper baby squid,[],"['Salt, Pepper, Baby Squid, Onion, Potato Starch']",high
琥珀花生,honeyed peanuts,[],[],high
特式套餐,house set menu c,[],['Per Person'],high
鲍汁扣鹅掌,goose web in abalone sauce,[],[],high
沙爹牛,beef satay,[],[],medium
酸菜魔芋豆腐,wok fried chinese sauerkraut with,[],"['Konjac Tofu By Sichuan Style s', 'A9']",high
孜然羊肉串,cumin lamb skewer,[],['Grilled Lamb with cumin spices on skewers'],medium
尖椒香芹牛肉丝,sauteed shredded beef with hot pepper and celery,[],[],high
腰果鸡丁,chicken with cashew nuts,[],[],high
日式咖喱鸡饭,japanese chicken curry,[],[],medium
明炉烧鸭,roast duck,[],[],high
八宝鸭丁,diced duck with eight delicacies,[],[],high
酥炸芝麻鸡饼,deep fried chicken and sesame cakes,[],[],medium
蒜蓉蒸大虾配粉丝,steamed garlic tiger prawns with glass noodles,[],[],high
豉椒斋鸡,soya chunks with green pepper and black bean sauce,[],[],high
皮蛋瘦肉粥,pork and century egg,[],['Congee'],high
芥末虾球,sauteed prawn topped with wasabi,[],[],high
黑椒牛柳煲仔面,black pepper fillet steak on crispy e fu noodle,[],[],high
麻辣牛展,beef shin in chilli oil dressing,[],[],high
沙爹鸡串,chicken skewer with peanut satay sauce,[],"['Chicken, Peanut Satay Sauce']",high
上海辣牛柳粒,shanghai hot chilli diced fillet steak,[],[],medium
甜酸素鸭,sweet and sour mock duck,[],[''],high
鸡面汤,chicken noodle soup,[],[],medium
干炒牛河牛肉炒才一,dry fried hor fun with beef,[''],[],high
千年皮蛋配菜心,choy sum with century egg,[],[],high
水煮鲈鱼卷,sichuan style sea bass rolls in chilli sauce s,[],[],high
北菇扒大鸭,braised duck with dried mushroom,[],[],high
麻辣耳丝,hot and spicy shredded pig ear,[],[],high
彭家豆腐豆腐,peng's beancurd with minced pork,[''],[],high
上汤海皇饺,seafood dumpling in supreme stock,[],['pork soup based'],high
蜜汁叉烧,char sui pork,[],[],medium
油辔龙球,quick fried dover sole fillet with seasonal green,[],[],medium
干锅手撕鸡,griddle hand-shredded chicken,[],[],high
蒜蓉炒中国菜心,stir fried choi sum with garlic,[],[],high
东来顺精选牛眼肉,donglaishun superior beef eyes,[],[],high
春芽豆腐丝,shredded tofu with bean sprouts,[],[],high
椰香竹笙黄焖燕窝羹,braised birds nest with coconut and bamboo pith in superior stock,[],[],high
豉味风爪,chicken feet black bean and chilli,[],[],high
红油百叶,beef tripe in chili oil,[],[],high
水煮猪肉片,spicy hot poached sliced pork in chilli oil,[],"['Pork, Lettuce, Garlic, Chilli, Sichuan Pepper Corn']",high
海蜇薰蹄,cold marinated pork with jelly fish,[],['Dim Sum Menu'],high
姜汁皮蛋,preserved eggs in ginger sauce,[],[],high
香煎罗汉素菜饺蒸素菜潮州粉果上素云耳炸春卷蒜香葱油饼海草及酸菜,pan fried lo han dumpling steamed vegetable and nut dumplings vegetarian spring rolls,[],['Spring Onion Pancakes Seaweed and Pickled Vegetables'],high
雪菜肉丝汤面,hand made soup noodles with shredded pork and,[],[],high
辣汁龙虾,chilli lobster,[],[],high
四川木耳,wood ear fungus,[],[],high
大虾炒面,king prawn fried noodles,[],['Fried egg noodles with prawns onions and beans sprout'],medium
蜜汁叉烧饭,char siu with rice roast duck hong kong,[],[],medium
香辣牛根腩煲,braised beef brisket and tenderloin in home made spicy sauce s,[],[],high
蟹黄烧麦,sui mai meat dumplings,[],['AD'],high
孜然寸骨,sauteed spare ribs with cumin spice,[],[],high
皇豉汁扒津菜芦笋,asparagus chinese leaves in yellow bean sauce,[],[],medium
红曲鸭膀,braised duck wings seasoned with red yeast,[],[],high
蒸肠粉,steamed rice rolls,[],[],high
黑椒牛肉,beef in black pepper sauce,[],[],medium
蛋炒饭,egg fried rice,[],['With spring onion'],high
齐干牛柳丝,crispy mock chilli beef soyabean protein,[],"['spicy dishes', 'nut dishes', 'ingredient', 'special dietary needs please notify the staff who will be happy to help', 'LYS textindd']",high
什菌扒豆腐,braised beancurd with mixed mushrooms,[],[],high
口水鸭肠,duck intestines with chili sauce,[],[],high
阿香婆石头烤肉,bbq beef with spicy sauce,[],[],high
干锅虾球匕术儿锅炒,dry wok prawn ball off the shell,[''],[],high
猪牛牛丝,pork beef shredded beef,[],[],high
姜葱蒸鲈鱼去骨,sea bass boneless with ginger and spring onions,[],[],medium
黄焖鱼翅,stewed shark fin in brown sauce,[],[],high
榄菜肉末豆角饭,stir fried green beans with minced pork and olive pickles,[],[],medium
马蹄鲜虾肠粉,steamed rice rolls with shrimps and water chestnuts,[],[],high
玉米羹,swet corn soup,[],[],high
京汁猪扒饭,pork chops in peking sauce,[],[],medium
鸡蛋炒饭,fried rice,[],[],medium
上素豆腐,stir fried tofu and seasonal green,[],[],medium
蟹黄金钩翅,braised shark fin with crab roe  ,[],[],high
酸辣皮蛋,preserved duck eggs with green peppers,[],[],high
潮式凉瓜排骨,"spare ribs with bitter melon, chaozhou style",[],[],high
地三鲜,aubergine with potato and sauteed,[],[],medium
蒸罗汉素菜饺,steamed lo han dumplings,[],[],medium
红烧肉末茄子,braised minced pork with aubergine,[],[],high
虾枣鱼丸豆腐煲,seafood and tofu in casserole,[],[],high
金汤酸菜鱼酸辣煮,sea bass fillet with sichuan pickles,[''],['IN GOLDEN SOUP'],high
小炒脆骨,sauteed gristle,[],[],high
西兰花牛柳,sauteed beef tenderloin with broccoli,[],[],high
蛋炒饭,egg fried rice,[],[],medium
上汤焗龙虾,baked lobster in thick stock,[],[],high
铁板葱爆羊,sliced lamb with spring onion on sizzling plat,[],[],high
原味虾烧麦,prawn shaomai,[],[],medium
鸡茸蛋白粟米羹,sweet corn soup with chicken,[],[],high
豉椒羊肉,sliced lamb with green pepper in black bean sauce,[],[],medium
糖醋白菜墩,sweet and sour chinese cabbage,[],[],high
椒盐鸡翅,salt and pepper chicken wings,[],[],medium
黑椒炒甲鱼,sauteed turtle with black pepper sauce,[],[],high
干锅有机花菜,stir fried pork with organic chinese,[],['cauliflower in spicy chilli sauce'],high
西红柿炒鸡蛋木耳青椒蘑菇素五味,home made noodles topped with,[],[],high
鲜墨鱼水饺,cuttlefish dumplings,[],[],medium
餐前小碟,selection of cold mini starters,[],[],high
米酒酿吉拉多生蚝,fresh gillardeau oyster with rice wine and szechuan yellow pepper sauce,[],[],high
番茄焖牛腩,slow cook beef brisket with tomato,[],[],medium
米汤,crab meat sweet corn soup,[],[],medium
盐水虾肉,shrimp cooked in brine,[],[],high
鱼香肉丝,sauteed shredded pork with black fungus in sweet & spicy garlic sauce,[],"['Pork, Carrot, Bamboo Shoot, Black Fungus, Sugar, Chilli Oil, Spring Onion']",high
咸肉菜饭,shanghai choi fried rice,[],['w Salted Pork'],high
子姜虾,sauteed shrimps with ginger shoots,[],[],high
海参过油肉,light-fried pork with sea cucumber,[],[],high
子姜牛肉,sauteed beef with ginger shoots,[],[],high
蟹籽小笼包,baozi stuffed with pork and crab roe,[],[],high
药味炖生中虾,simmered prawns with medicinal herbs,[],[],high
菠萝虾球,sauteed prawn with pineapple,[],[],high
凉拌牛健子肉,spicy beef shank,[],[],medium
凉拌莜面,oat noodles with garlic sauce,[],[],high
流沙包,steamed duck yolk custard bun,[],[],high
酥炸凤尾虾,deep fried butterfly prawns,[],[],medium
素春卷,vegetarian spring rolls,[],[],high
香茜带子饺,"jiaozi stuffed with scallop, prawn and coriander ",[],[],high
腐竹粉丝,ants climbing a tree bean thread noodles with minced meat,[],[],high
重庆辣子鸡无,deep fried chicken with dried chilli boneless,[],[],medium
椒盐毛菇,fried mushroom with chilli and salt,[],[],medium
兰花大虾球,prawn with chinese broccoli,[],[],high
龙须蟹枣,fried crab meat,[],[],high
酱芦笋炒鸡片,chicken with asparagus in xo sauce,[],[],medium
豉椒牛肉,beef with green peppers and black bean sauce,[],[],medium
上海粗炒,stir-fried noodles in shanghainese style,[''],[],high
周公三鲜浓汤面,"noodle soup with fish maw, abalone and sea cucumber",[],[],high
蟹肉粟米羹,crab meat thick soup with sweet corn,[],[],high
芒果布丁,mango pudding,[],"['Mango, Pudding Powder']",high
铁板中式牛柳,sizzling fillet steak in cantonese style,[],[],medium
干拌顺风,pig ear in chili sauce,[],[],high
油辔石斑球,fried halibut balls,[],[],high
橙汁麒麟鸭,roast duck in orange sauce half,[],[],high
炒蟹,sauteed crab,[],[],high
辣味日本芥辣虾,spicy wasabi king prawns,[],[],medium
果汁辣味猪柳,pork fillet in spicy sweet fruit sauce,[],[],medium
香葱炸两肠粉,fried dough stick v,[],[],high
四川羊大虾三鲜,lamb king prawn mixed seafood,[],[],high
豆苗羊肚菌,braised yellow fungus with pea sprouts,[],[],high
农家花菜豚肉唐辛子炒,cauliflower with sliced pork and fresh chillies,[],[],high
蔬菜篮,mixed vegetables,[],[],high
殷豉炒肉蟹,sauteed hard-shell crab in taiwan black bean sauce,[],[],high
牛柳卷,fillet steak roll,[],"['Fillet Steak,Vegetables']",high
鸡煲海虎翅,braised tiger shark fin in chicken soup ,[],[],high
星洲炒饭,singapore style fried rice,[],[],high
酱鸡粒炒饭,chicken fried rice with xo sauce,[],[],medium
果汁藕片,marinated lotus roots with fruit juice,[],[],high
拌豆腐丝,shredded tofu,[],[],high
豉椒鸡,spicy chicken in chilli and black bean sauce,[],[],medium
宫保爆鸡丁,kung pao chicken with dried chilli and cashew nut,[],[],high
鸡肉炒饭,chicken fried rice,[],[],medium
左口鱼豉汁蒸清蒸红烧,brown sauce,[],[],high
北菇滑鸡煲,chicken and mushroom pot,[],[],medium
鱼香肉松茄子煲,sizzling aubergine braised with minced pork in sea spice sauce s,[],[],high
油豆腐粉丝汤,fried tofu and vermicelli soup,[],[],high
豉椒牛,beef with green pepper and black bean sauce,[],[],medium
溜丸子,stir-fry pork balls with brown sauce,[],[],high
煎酿三宝,grilled stuffed beancurd green pepper and aubergine,[],['with prawn paste'],medium
鲍汁花菇烧鹅掌,braised goose webs and mushrooms in abalone sauce,[],[],high
上海小笼包,shanghai xiao long bao,[],[],high
银芽豉油皇炒面,soft noodles with silver sprouts,[],[],medium
辣子鸡,fragrant chilli chicken,[],['Stir fried tender chicken pieces with dried hot red chillies garlic Sichuan peppercorns and red chilli oil until spicy and fragrant'],high
吉鱼鳟鱼,bull trout）,[],[],high
杏仁鸡,crispy almond chicken n,[],[],medium
剁椒芋丝蒸,bean sauce/steamed with chopped chili pepper and chinese yam,[],[],high
蛋酥樟茶鸭,smoked duck with egg crust,[],[],high
素菜松,minced mixed vegetable wrapped in lettuce,[],[],medium
豉汁蒸排骨,mini spare ribs in garlic and black bean sauce,[],[],medium
麻辣凉拌美容蹄,trotters in garlic sauce in spicy chilli,[],['and Sichuan peppercorns'],high
红油耳丝香辣耳丝,shredded pig's ear in chilli oil,[],['in hot and spicy sauce'],high
沙爹鸡串,satay chicken vegetarian chicken,[],[],medium
三鲜河粉,shf seafood rice stick ho fun,[],[],high
南非花胶,south africa fish maw,[],[],high
葱油煎饼,pan-fried scallion pancake,[],[],high
红油抄手,won ton with garlic chilli oil and soy poached yolk,[],[],high
双椒牛肉,beef sliced with green and red peppers,[],[],medium
笋尖虾饺皇,har kau prawn dumplings,[],[],medium
龙凤琵琶豆腐,"steamed tofu with egg, chicken and shrimp",[],[],high
春菇烧麦,mushroom shaomai ,[],[],high
蒜香排骨饭,rice with spare ribs with garlic,[],[],high
